,Eng,Chinese,No Units,District_x,Address_x,Geo_lat_x,Geo_lng_x,Hospital,Address_y,Geo_lat_y,Geo_lng_y,District_y,Distance(Km),Rank
8,(Kwai Tsui Estate),???,866,Kwai Tsing District,"11 Kwai Yi Rd, Kwai Fong, Hong Kong",22.3563863,114.1289877,Princess Margaret Hospital,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",22.3415435,114.1338324,Kwai Tsing District,1.724496912,1
17,(Kwai Tsui Estate),???,866,Kwai Tsing District,"11 Kwai Yi Rd, Kwai Fong, Hong Kong",22.3563863,114.1289877,Yan Chai Hospital,"7-11, Yan Chai St, Tsuen Wan, Hong Kong",22.369713,114.1195962,Tsuen Wan District,1.769279668,2
1,(Kwai Tsui Estate),???,866,Kwai Tsing District,"11 Kwai Yi Rd, Kwai Fong, Hong Kong",22.3563863,114.1289877,Caritas Medical Centre,"Hong Kong, Sham Shui Po, Wing Hong St, 111????????",22.3414653,114.1531916,Sham Shui Po District,2.992302309,3
33,Affluence Garden,????,2208,Tuen Mun District,"33 Tsing Chung Koon Rd, Tuen Mun, Hong Kong",22.4032507,113.9750208,Tuen Mun Hospital,"Block H, Tsing Chung Koon Rd, Tuen Mun, Hong Kong",22.4082312,113.9758602,Tuen Mun District,0.560647032,1
31,Affluence Garden,????,2208,Tuen Mun District,"33 Tsing Chung Koon Rd, Tuen Mun, Hong Kong",22.4032507,113.9750208,Tin Shui Wai Hospital,"11 Tin Tan St, Tin Shui Wai, Hong Kong",22.4584632,113.9958452,Yuen Long District,6.503591669,2
24,Affluence Garden,????,2208,Tuen Mun District,"33 Tsing Chung Koon Rd, Tuen Mun, Hong Kong",22.4032507,113.9750208,Pok Oi Hospital,"Au Tau, Hong Kong",22.4454026,114.0419062,Yuen Long District,8.323015782,3
41,Aldrich Garden,???,2972,Eastern District,"2 Oi Lai St, Aldrich Bay, Hong Kong",22.2810548,114.228716,Pamela Youde Nethersole Eastern Hospital,"Pamela Youde Nethersole Eastern Hospital Main Block, Lok Man Rd, Chai Wan, Hong Kong",22.2695993,114.2362653,Eastern District,1.492388708,1
52,Aldrich Garden,???,2972,Eastern District,"2 Oi Lai St, Aldrich Bay, Hong Kong",22.2810548,114.228716,United Christian Hospital,"130 Hip Wo St, Kwun Tong, Hong Kong",22.323359,114.22703,Kwun Tong District,4.708539073,2
47,Aldrich Garden,???,2972,Eastern District,"2 Oi Lai St, Aldrich Bay, Hong Kong",22.2810548,114.228716,Ruttonjee Hospital,"266 Queen's Rd E, Wan Chai, Hong Kong",22.2758184,114.1753328,Wan Chai District,5.525172888,3
64,Ap Lei Chau Estate,????,4400,Southern District,"322 Ap Lei Chau Bridge Rd, Ap Lei Chau, Hong Kong",22.2444243,114.1508329,Queen Mary Hospital,"Queen Mary Hospital Main Block, Pok Fu Lam Rd, High West, Hong Kong",22.270256,114.1313781,Southern District,3.502245648,1
65,Ap Lei Chau Estate,????,4400,Southern District,"322 Ap Lei Chau Bridge Rd, Ap Lei Chau, Hong Kong",22.2444243,114.1508329,Ruttonjee Hospital,"266 Queen's Rd E, Wan Chai, Hong Kong",22.2758184,114.1753328,Wan Chai District,4.307347291,2
63,Ap Lei Chau Estate,????,4400,Southern District,"322 Ap Lei Chau Bridge Rd, Ap Lei Chau, Hong Kong",22.2444243,114.1508329,Queen Elizabeth Hospital,"30? Gascoigne Rd, Yau Ma Tei, Hong Kong",22.3088961,114.1746325,Yau Tsim Mong District,7.577803114,3
89,Bo Shek Mansion,????,269,Tsuen Wan District,"328 Sha Tsui Rd, Tsuen Wan, Hong Kong",22.3688691,114.1175883,Yan Chai Hospital,"7-11, Yan Chai St, Tsuen Wan, Hong Kong",22.369713,114.1195962,Tsuen Wan District,0.226855255,1
80,Bo Shek Mansion,????,269,Tsuen Wan District,"328 Sha Tsui Rd, Tsuen Wan, Hong Kong",22.3688691,114.1175883,Princess Margaret Hospital,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",22.3415435,114.1338324,Kwai Tsing District,3.468383618,2
73,Bo Shek Mansion,????,269,Tsuen Wan District,"328 Sha Tsui Rd, Tsuen Wan, Hong Kong",22.3688691,114.1175883,Caritas Medical Centre,"Hong Kong, Sham Shui Po, Wing Hong St, 111????????",22.3414653,114.1531916,Sham Shui Po District,4.764836044,3
101,Broadview Court,???,1540,Southern District,"11 Shum Wan Rd, Wong Chuk Hang, Hong Kong",22.2427515,114.1654661,Ruttonjee Hospital,"266 Queen's Rd E, Wan Chai, Hong Kong",22.2758184,114.1753328,Wan Chai District,3.815570672,1
100,Broadview Court,???,1540,Southern District,"11 Shum Wan Rd, Wong Chuk Hang, Hong Kong",22.2427515,114.1654661,Queen Mary Hospital,"Queen Mary Hospital Main Block, Pok Fu Lam Rd, High West, Hong Kong",22.270256,114.1313781,Southern District,4.655319361,2
99,Broadview Court,???,1540,Southern District,"11 Shum Wan Rd, Wong Chuk Hang, Hong Kong",22.2427515,114.1654661,Queen Elizabeth Hospital,"30? Gascoigne Rd, Yau Ma Tei, Hong Kong",22.3088961,114.1746325,Yau Tsim Mong District,7.417269129,3
125,Broadview Garden,????,1308,Kwai Tsing District,"1 Tsing Luk St, Tsing Yi, Hong Kong",22.3567278,114.103606,Yan Chai Hospital,"7-11, Yan Chai St, Tsuen Wan, Hong Kong",22.369713,114.1195962,Tsuen Wan District,2.18889393,1
116,Broadview Garden,????,1308,Kwai Tsing District,"1 Tsing Luk St, Tsing Yi, Hong Kong",22.3567278,114.103606,Princess Margaret Hospital,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",22.3415435,114.1338324,Kwai Tsing District,3.538494403,2
109,Broadview Garden,????,1308,Kwai Tsing District,"1 Tsing Luk St, Tsing Yi, Hong Kong",22.3567278,114.103606,Caritas Medical Centre,"Hong Kong, Sham Shui Po, Wing Hong St, 111????????",22.3414653,114.1531916,Sham Shui Po District,5.376007202,3
141,Butterfly Estate,???,5400,Tuen Mun District,"1 Wu Chui Rd, Tuen Mun, Hong Kong",22.3752484,113.9630632,Tuen Mun Hospital,"Block H, Tsing Chung Koon Rd, Tuen Mun, Hong Kong",22.4082312,113.9758602,Tuen Mun District,3.897470267,1
139,Butterfly Estate,???,5400,Tuen Mun District,"1 Wu Chui Rd, Tuen Mun, Hong Kong",22.3752484,113.9630632,Tin Shui Wai Hospital,"11 Tin Tan St, Tin Shui Wai, Hong Kong",22.4584632,113.9958452,Yuen Long District,9.850336451,2
130,Butterfly Estate,???,5400,Tuen Mun District,"1 Wu Chui Rd, Tuen Mun, Hong Kong",22.3752484,113.9630632,North Lantau Hospital,"8 Chung Yan Rd, Lantau Island, Hong Kong",22.2820281,113.9392707,Islands District,10.65360251,3
149,Chai Wan Estate,???,1600,Eastern District,"300 San Ha St, Chai Wan, Hong Kong",22.264341,114.242424,Pamela Youde Nethersole Eastern Hospital,"Pamela Youde Nethersole Eastern Hospital Main Block, Lok Man Rd, Chai Wan, Hong Kong",22.2695993,114.2362653,Eastern District,0.862511931,1
158,Chai Wan Estate,???,1600,Eastern District,"300 San Ha St, Chai Wan, Hong Kong",22.264341,114.242424,Tseung Kwan O Hospital,"Hong Kong, Tseung Kwan O, ????? 2 ?",22.3178963,114.2698832,Sai Kung District,6.593098038,2
160,Chai Wan Estate,???,1600,Eastern District,"300 San Ha St, Chai Wan, Hong Kong",22.264341,114.242424,United Christian Hospital,"130 Hip Wo St, Kwun Tong, Hong Kong",22.323359,114.22703,Kwun Tong District,6.752818686,3
163,Chak On Estate,???,1900,Sham Shui Po District,"Hong Kong, Tai Woh Ping, Chak On Rd, ???",22.3403545,114.1642326,Caritas Medical Centre,"Hong Kong, Sham Shui Po, Wing Hong St, 111????????",22.3414653,114.1531916,Sham Shui Po District,1.142570431,1
164,Chak On Estate,???,1900,Sham Shui Po District,"Hong Kong, Tai Woh Ping, Chak On Rd, ???",22.3403545,114.1642326,Kwong Wah Hospital,"25? Waterloo Rd, Yau Ma Tei, Hong Kong",22.3151014,114.172488,Yau Tsim Mong District,2.934425325,2
170,Chak On Estate,???,1900,Sham Shui Po District,"Hong Kong, Tai Woh Ping, Chak On Rd, ???",22.3403545,114.1642326,Princess Margaret Hospital,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",22.3415435,114.1338324,Kwai Tsing District,3.130291501,3
182,Charming Garden,????,3908,Yau Tsim Mong District,"? 16 ?, 8 Hoi Ting Rd, Hong Kong",22.314211,114.163083,Kwong Wah Hospital,"25? Waterloo Rd, Yau Ma Tei, Hong Kong",22.3151014,114.172488,Yau Tsim Mong District,0.972799595,1
189,Charming Garden,????,3908,Yau Tsim Mong District,"? 16 ?, 8 Hoi Ting Rd, Hong Kong",22.314211,114.163083,Queen Elizabeth Hospital,"30? Gascoigne Rd, Yau Ma Tei, Hong Kong",22.3088961,114.1746325,Yau Tsim Mong District,1.327343978,2
181,Charming Garden,????,3908,Yau Tsim Mong District,"? 16 ?, 8 Hoi Ting Rd, Hong Kong",22.314211,114.163083,Caritas Medical Centre,"Hong Kong, Sham Shui Po, Wing Hong St, 111????????",22.3414653,114.1531916,Sham Shui Po District,3.197666643,3
203,Cheerful Garden,????,1870,Eastern District,"23 Siu Sai Wan Rd, Chai Wan, Hong Kong",22.2628253,114.2498465,Pamela Youde Nethersole Eastern Hospital,"Pamela Youde Nethersole Eastern Hospital Main Block, Lok Man Rd, Chai Wan, Hong Kong",22.2695993,114.2362653,Eastern District,1.588061909,1
212,Cheerful Garden,????,1870,Eastern District,"23 Siu Sai Wan Rd, Chai Wan, Hong Kong",22.2628253,114.2498465,Tseung Kwan O Hospital,"Hong Kong, Tseung Kwan O, ????? 2 ?",22.3178963,114.2698832,Sai Kung District,6.463126669,2
214,Cheerful Garden,????,1870,Eastern District,"23 Siu Sai Wan Rd, Chai Wan, Hong Kong",22.2628253,114.2498465,United Christian Hospital,"130 Hip Wo St, Kwun Tong, Hong Kong",22.323359,114.22703,Kwun Tong District,7.130646953,3
